Adroit Jazz Underground HD,https://walmradio.com:8443/jazz,,
101 SMOOTH JAZZ,http://www.101smoothjazz.com/101-smoothjazz.m3u,,
80s80s,http://streams.80s80s.de/web/mp3-192/streams.80s80s.de/,,
House (Beat Blender - SomaFM),http://somafm.com/startstream=beatblender.pls,,
Indie Pop (Indie Pop Rocks! - SomaFM),http://somafm.com/indiepop130.pls,,
Pop/Rock/Urban  (Frequence 3 - Paris),http://streams.frequence3.net/hd-mp3.m3u,,
Progressive (Tags Trance Trip - SomaFM),http://somafm.com/tagstrance.pls,,
Vox Noctem: Rock-Goth,http://r2d2.voxnoctem.de:8000/voxnoctem.mp3,,
Radio Paradise - Mellow Mix,http://stream.radioparadise.com/mellow-128,,
#80s HITS,http://listen.radionomy.com/80-exits,,
