Commodore 64 Remixes (Slay Radio),http://www.slayradio.org/tune_in.php/128kbps/listen.m3u
Dance Wave Retro!,http://retro.dancewave.online/retrodance.mp3.pls
Hirschmilch Radio Prog-House,https://hirschmilch.de:7001/prog-house.mp3
Dance Wave!,http://dancewave.online/dance.mp3.pls
Echoes of Bluemars - Voices from Within,http://streams.echoesofbluemars.org:8000/voicesfromwithin.m3u
Echoes of Bluemars,http://streams.echoesofbluemars.org:8000/bluemars.m3u
DanceUK,https://www.internet-radio.com/servers/tools/playlistgenerator/?u=http://uk2.internet-radio.com:8024/listen.pls&t=.pls
Progressive (Tags Trance Trip - SomaFM),http://somafm.com/tagstrance.pls
Intelligent dance music (Cliq Hop - SomaFM),http://somafm.com/startstream=cliqhop.pls
House (Beat Blender - SomaFM),http://somafm.com/startstream=beatblender.pls
